RENT,AREA_SQFT,BHK,FURNISHED,ADDRESS,CITY
14000,1200,3 BHK,Unfurnished,"Niwaru  Road, Jaipur",Jaipur
50000,250,5 BHK,Unfurnished,"Katewa Nagar, Jaipur",Jaipur
1600000,2700,12 BHK,Furnished,Vatika Infotech  City,Jaipur
17500,2000,2 BHK,Unfurnished,"Jhotwara, Jaipur",Jaipur
100000,2250,7 BHK,Furnished,"Officers Campus Extension, Jaipur",Jaipur
16000,756,2 BHK,Furnished,"Jadishpuri colony, Opp. Chitrakoot, Vaishali Nagar",Jaipur
25000,2000,2 BHK,Unfurnished,"Malviya Nagar, Jaipur",Jaipur
45000,1200,4 BHK,Unfurnished,"Jagatpura, Jaipur",Jaipur
16000,1500,3 BHK,Unfurnished,"Bhartendu Nagar, Jaipur",Jaipur
55000,150,3 BHK,Furnished,"Siddharth Nagar, Jaipur",Jaipur
65000,3000,5 BHK,Furnished,Railway Colony,Jaipur
23500,900,3 BHK,Unfurnished,PJ Krishna Sagar,Jaipur
30000,765,3 BHK,Furnished,jaipur homes,Jaipur
300000,4500,6 BHK,Furnished,"Nemi Nagar, Jaipur",Jaipur
1500000,4275,5 BHK,Furnished,bees dukan,Jaipur
8000,650,1 BHK,Unfurnished,"Pratap Nagar, Jaipur",Jaipur
3000,1650,3 BHK,Unfurnished,"Bhagwan Nagar, Jaipur",Jaipur
8000,1800,2 BHK,Unfurnished,"govind vhiar vaishali nagar, Jaipur",Jaipur
13000,100,2 BHK,Unfurnished,"Patrakar Colony, Jaipur",Jaipur
6000,800,2 BHK,Unfurnished,All India Services Residency,Jaipur
26000,2100,3 BHK,Unfurnished,Vardhaman Patrakar Colony,Jaipur
30000,2406,3 BHK,Unfurnished,"Officers Campus Colony, Jaipur",Jaipur
20000,1500,2 BHK,Unfurnished,"Madhyam Marg, Jaipur",Jaipur
16000,1020,2 BHK,Furnished,"Model Town, Jaipur",Jaipur
25000,1000,2 BHK,Unfurnished,"Bani Park, Jaipur",Jaipur
19000,1350,2 BHK,Furnished,"Mangyawas, Jaipur",Jaipur
20000,850,3 BHK,Unfurnished,Mahimas Kopal,Jaipur
100000,3000,5 BHK,Furnished,"Jawahar Nagar, Jaipur",Jaipur
10000,900,1 BHK,Unfurnished,"Janta Colony, Jaipur",Jaipur
10000,648,2 BHK,Unfurnished,"Sector 26 Pratap Nagar, Jaipur",Jaipur
25000,110,2 BHK,Furnished,"Goner Road, Jaipur",Jaipur
14000,1000,1 BHK,Furnished,Xaviers Arcade II Chainpura,Jaipur
15000,999,3 BHK,Unfurnished,Monika Vihar 5,Jaipur
25000,1500,2 BHK,Unfurnished,"Janta Colony, Jaipur",Jaipur
6500,150,1 BHK,Unfurnished,"Ram Nagar Extension, Jaipur",Jaipur
18000,1600,3 BHK,Unfurnished,"Govindpura, Jaipur",Jaipur
10000,1000,3 BHK,Unfurnished,"Manchwa, Jaipur",Jaipur
15000,1404,2 BHK,Unfurnished,"Sanganer,Pratap Nagar, Jaipur",Jaipur
9500,1800,2 BHK,Unfurnished,Ashadeep Greens,Jaipur
14000,3000,1 BHK,Furnished,"sector 6 Jawahar Nagar, Jaipur",Jaipur
20000,500,1 BHK,Furnished,Tirupati Unnati Vihar,Jaipur
10000,1125,2 BHK,Unfurnished,"Narayan City, Jaipur",Jaipur
22000,850,2 BHK,Furnished,"Sector 18 Pratap Nagar, Jaipur",Jaipur
30000,1000,3 BHK,Furnished,Shivam nagar,Jaipur
16000,230,2 BHK,Unfurnished,Mahimas Iris,Jaipur
16500,500,1 BHK,Furnished,"Sector 11 Pratap Nagar, Jaipur",Jaipur
16000,1000,1 BHK,Furnished,"Sector 7 Mansarovar, Jaipur",Jaipur
25000,1500,2 BHK,Unfurnished,"Sector 6 Malviya Nagar, Jaipur",Jaipur
28500,1600,3 BHK,Unfurnished,"Nirman Nagar, Jaipur",Jaipur
16000,1350,2 BHK,Unfurnished,"Sector 9 Pratap Nagar, Jaipur",Jaipur
100000,3000,4 BHK,Furnished,"Jawahar Nagar, Jaipur",Jaipur
15000,1500,2 BHK,Unfurnished,"Bhakrota, Jaipur",Jaipur
15000,900,3 BHK,Unfurnished,Kedias The Kothi,Jaipur
15000,1300,2 BHK,Unfurnished,"Karolan Ka Barh, Jaipur",Jaipur
10000,2000,3 BHK,Unfurnished,"Meena Wala, Jaipur",Jaipur
11000,900,2 BHK,Unfurnished,M M R R Valley,Jaipur
6500,1500,2 BHK,Unfurnished,7 JHA 48,Jaipur
14500,1500,1 BHK,Unfurnished,"Shiv Parwati Nagar, Jaipur",Jaipur
25000,1647,5 BHK,Unfurnished,"Vaishali Nagar Extension, Jaipur",Jaipur
15000,1500,3 BHK,Unfurnished,"102, Samiksha Vihaar, Sinwar Phatak, Jaipur",Jaipur
100000,2400,2 BHK,Furnished,"Sirsi, Jaipur",Jaipur
7500,1100,2 BHK,Unfurnished,"Grand Sikar Road, Jaipur",Jaipur
50000,3150,4 BHK,Unfurnished,"Hanuman Vatika 1, Jaipur",Jaipur
12000,990,2 BHK,Unfurnished,Ansal Sushant City 2,Jaipur
15000,1260,2 BHK,Unfurnished,"Pratap Nagar, Jaipur",Jaipur
12000,1800,4 BHK,Unfurnished,"Bagru Khurd, Jaipur",Jaipur
17000,1200,3 BHK,Unfurnished,"Jhotwara, Jaipur",Jaipur
15000,2000,1 BHK,Unfurnished,"Kalwar Road, Jaipur",Jaipur
28000,2700,4 BHK,Unfurnished,"Kamla Nehru Nagar, Jaipur",Jaipur
6000,150,1 BHK,Unfurnished,"Jagannath Puri I, Jaipur",Jaipur
30000,111,3 BHK,Unfurnished,nirman nagar,Jaipur
10000,900,2 BHK,Unfurnished,"Kalwar Road, Jaipur",Jaipur
13000,1100,2 BHK,Unfurnished,"Bindayaka, Jaipur",Jaipur
22000,2000,2 BHK,Unfurnished,"Shiv Parwati Nagar, Jaipur",Jaipur
22000,1500,3 BHK,Unfurnished,"Ajmer Road, Jaipur",Jaipur
10000,200,2 BHK,Unfurnished,"Gokulpura, Jaipur",Jaipur
7000,900,2 BHK,Unfurnished,"Keshopura, Jaipur",Jaipur
17000,1800,2 BHK,Unfurnished,"Shalimar Bagh Colony, Jaipur",Jaipur
11000,1200,2 BHK,Unfurnished,Friends Shree Radha Govind Villa Extension,Jaipur
15000,675,1 BHK,Unfurnished,"Kumbha Marg, Jaipur",Jaipur
15000,2228,3 BHK,Unfurnished,Alankar colony,Jaipur
45000,200,6 BHK,Furnished,Panipech,Jaipur
13600,1200,3 BHK,Unfurnished,Prithviraj nagar sector B,Jaipur
11000,1200,2 BHK,Unfurnished,"Jamnapuri, Jaipur",Jaipur
8000,100,1 BHK,Unfurnished,"Jagannath Puri I, Jaipur",Jaipur
18000,50,1 BHK,Furnished,Pratap Apartments,Jaipur
15000,490,2 BHK,Unfurnished,"Adarsh Bazar, Tonk Phatak, Jaipur",Jaipur
10000,750,2 BHK,Unfurnished,"Kedia Utsav Dharwad, Jaipur",Jaipur
22000,1150,2 BHK,Furnished,"Brij Vihar, Jaipur",Jaipur
14000,1250,2 BHK,Unfurnished,Kedia Keshvam Home Land,Jaipur
10000,400,1 BHK,Unfurnished,"Uday Nagar A, Jaipur",Jaipur
18000,1500,3 BHK,Unfurnished,Kedias The Kothi,Jaipur
11999,1300,2 BHK,Unfurnished,"Hanumant Nagar, Jaipur",Jaipur
27000,1450,3 BHK,Furnished,"Jagatpura, Jaipur",Jaipur
15000,1250,2 BHK,Unfurnished,"Ashok Vihar Vistar, Jaipur",Jaipur
3500,400,2 BHK,Unfurnished,RHB Dastkar Nagar,Jaipur
80000,15750,1 BHK,Unfurnished,Post vidhyani,Jaipur
10000,900,2 BHK,Unfurnished,"New Loha Mandi, Jaipur",Jaipur
15000,1150,2 BHK,Unfurnished,Finetech Prim Woods,Jaipur
25000,1200,2 BHK,Unfurnished,"Jaswant Nagar, Jaipur",Jaipur
15000,750,2 BHK,Unfurnished,"Sunder Nagar, Jaipur",Jaipur
18000,2000,2 BHK,Unfurnished,"Sector 4 Malviya Nagar, Jaipur",Jaipur
75000,3510,3 BHK,Furnished,"Adinath Nagar, Jaipur",Jaipur
35000,85,3 BHK,Furnished,"Jagatpura, Jaipur",Jaipur
5500,950,1 BHK,Unfurnished,"Vatika, Jaipur",Jaipur
10000,700,3 BHK,Unfurnished,Kedia Anandam,Jaipur
200000,1800,7 BHK,Furnished,Vardhman Hanuman Nagar,Jaipur
20000,1125,3 BHK,Unfurnished,Chordias Prime Ville Classic,Jaipur
14999,1100,3 BHK,Unfurnished,"Ganesh Nagar, Radha Kunj, Jaipur",Jaipur
25000,2000,3 BHK,Furnished,Gulmohar Gardens,Jaipur
30000,1100,2 BHK,Furnished,"Krishna Nagar 2, Jaipur",Jaipur
14500,195,3 BHK,Unfurnished,plot no.165,Jaipur
20000,200,3 BHK,Unfurnished,"Sirsi, Jaipur",Jaipur
15000,1000,2 BHK,Unfurnished,SARDA'S VRINDAVAN,Jaipur
100000,2250,7 BHK,Furnished,"Officers Campus Extension, Jaipur",Jaipur
20000,1800,2 BHK,Unfurnished,INDEPENDENT HOUSE at Kardhani Jaipu,Jaipur
10000,1800,2 BHK,Unfurnished,"Meena Wala, Jaipur",Jaipur
35000,120,3 BHK,Unfurnished,Mahima Spring Villa,Jaipur
16000,120,1 BHK,Unfurnished,"Chainpura, Jaipur",Jaipur
25000,850,3 BHK,Unfurnished,Space Villas By One Realty,Jaipur
40000,3000,4 BHK,Unfurnished,"Pratap Nagar, Jaipur",Jaipur
18000,1550,3 BHK,Unfurnished,Aangan The Villas,Jaipur
4800000,5400,4 BHK,Furnished,"C Scheme, Jaipur",Jaipur
16000,1440,4 BHK,Unfurnished,Siddha Aangan,Jaipur
15000,1800,2 BHK,Unfurnished,Manglam Kanak Vrindavan,Jaipur
"12,500",300,2 BHK,Unfurnished,sobhag,Ajmer
"12,500",800,2 BHK,Unfurnished,"Civil Lines, Ajmer",Ajmer
"19,000",1200,3 BHK,Unfurnished,"Gyan Vihar Colony, Ajmer",Ajmer
"14,000",1920,1 BHK,Unfurnished,"Vaishali Nagar, Ajmer",Ajmer
"15,000",148,2 BHK,Unfurnished,"3/195, B block",Ajmer
"10,000",448,2 BHK,Unfurnished,"Roop nagar, Ajmer",Ajmer
"15,000",1500,2 BHK,Unfurnished,"Topdara, Ajmer",Ajmer
"17,000",1224,2 BHK,Unfurnished,"Vaishali Nagar, Ajmer",Ajmer
"7,500",700,2 BHK,Unfurnished,"Vaishali Nagar, Ajmer",Ajmer
"11,500",1291,2 BHK,Unfurnished,"Panchsheel Nagar, Ajmer",Ajmer
"4,000",150,1 BHK,Unfurnished,"Kishangarh, Ajmer",Ajmer
"16,500",1665,3 BHK,Unfurnished,"Gyan Vihar Colony, Ajmer",Ajmer
"16,000",1200,2 BHK,Unfurnished,"Pushkar, Ajmer",Ajmer
"12,000",800,2 BHK,Unfurnished,"Kotra, Ajmer",Ajmer
"7,000",495,1 BHK,Unfurnished,Apeksha City Ajmer,Ajmer
"20,000",120,2 BHK,Unfurnished,modi path,Ajmer
"12,000",200,2 BHK,Furnished,Issai mohalla,Ajmer
"11,000",1800,3 BHK,Unfurnished,"Vaishali Nagar, Ajmer",Ajmer
"10,000",1800,2 BHK,Unfurnished,"Chandra Vardai Nagar, Ajmer",Ajmer
"18,000",1300,3 BHK,Unfurnished,"Vaishali Nagar, Ajmer",Ajmer
"16,000",1656,2 BHK,Unfurnished,"Gyan Vihar Colony, Ajmer",Ajmer
"11,500",1291,2 BHK,Unfurnished,"Panchsheel Colony, Ajmer",Ajmer
"17,000",1000,2 BHK,Furnished,shri ram vihar,Ajmer
